show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,month_name_added,age_of_show,duration_value,movie_duration_min,tv_seasons
s6411,movie,camp_cool_kids,lisa_arnold,"connor_rosen,_logan_shroyer,_michael_gross,_markie_post,_leigh-allyn_baker,_juliocesar_chavez,_tyree_brown",united_states,2018-01-01,2017,tv-g,104_min,"children_&_family_movies,_comedies,_dramas","a_young_boy_attends_summer_camp,_where_he_overcomes_his_fears,_stands_up_to_bullies_and_learns_important_lessons_about_faith_and_life.",2018.0,1.0,january,1.0,104.0,104.0,
s6412,tv_show,camp_x,,,canada,2019-02-01,2014,tv-ma,1_season,docuseries,"established_during_world_war_ii,_north_america's_first_secret_agent_training_school_–_known_as_camp_x_–_paved_the_way_for_present-day_espionage.",2019.0,2.0,february,5.0,1.0,,1.0
s6413,movie,camp_x-ray,peter_sattler,"kristen_stewart,_peyman_moaadi,_john_carroll_lynch,_lane_garrison,_joseph_julian_soria,_ser'darius_blain,_cory_michael_smith,_julia_duffy",united_states,2017-01-14,2014,r,117_min,"dramas,_independent_movies","fresh_army_recruit_amy_cole_is_assigned_to_guantanamo_bay's_camp_x-ray,_where_she_forms_a_surprising_bond_with_one_of_the_prisoners_in_her_charge.",2017.0,1.0,january,3.0,117.0,117.0,
s6414,tv_show,can_we_get_married?,,"sung_jun,_so-min_jung,_sung-min_kim,_ae-yeon_jeong,_mi-sook_lee,_eun-sook_sunwoo,_seok-woo_kang,_young-kwang_kim,_han_groo,_jin-soo_kim",south_korea,2017-05-22,2012,tv-14,1_season,"international_tv_shows,_korean_tv_shows,_romantic_tv_shows","on_the_cusp_of_marriage_or_divorce,_four_couples_consider_the_meaning_of_love,_sharing_a_life,_meddling_families_and_the_weight_of_their_commitment.",2017.0,5.0,may,5.0,1.0,,1.0
s6415,movie,can't_hardly_wait,"harry_elfont,_deborah_kaplan","jennifer_love_hewitt,_ethan_embry,_charlie_korsmo,_lauren_ambrose,_peter_facinelli,_seth_green,_michelle_brookhurst,_alexander_martin,_erik_palladino,_channon_roe,_sean_patrick_thomas",united_states,2021-01-01,1998,pg-13,101_min,"comedies,_romantic_movies","at_a_wild_high_school_graduation_party,_aspiring_writer_preston_hopes_to_declare_his_love_to_popular_girl_amanda,_who_just_got_dumped_by_the_class_jock.",2021.0,1.0,january,23.0,101.0,101.0,
s6416,movie,candyman,bernard_rose,"virginia_madsen,_tony_todd,_xander_berkeley,_kasi_lemmons,_vanessa_williams,_dejuan_guy,_michael_culkin,_stanley_desantis","united_states,_united_kingdom",2019-10-01,1992,r,99_min,"cult_movies,_horror_movies","grad_student_helen_lyle_unintentionally_summons_the_candyman,_a_hook-handed_creature_made_flesh_by_other_people's_belief_in_him.",2019.0,10.0,october,27.0,99.0,99.0,
s6417,tv_show,cannabis,,"jean-michel_correia,_yasin_houicha,_pedro_casablanc,_christophe_paou,_kate_moran,_santi_pons",france,2016-12-15,2016,tv-ma,1_season,"crime_tv_shows,_international_tv_shows,_tv_dramas","when_a_huge_marijuana_shipment_falls_prey_to_thieves,_the_aftermath_touches_players_from_all_ranks_of_the_drug_trade_between_morocco_and_europe.",2016.0,12.0,december,0.0,1.0,,1.0
s6418,movie,capital_in_the_twenty-first_century,justin_pemberton,,"france,_new_zealand",2020-09-08,2019,tv-14,103_min,documentaries,"based_on_economist_thomas_piketty's_best-selling_book,_this_documentary_examines_wealth_accumulation_and_its_looming_social_repercussions.",2020.0,9.0,september,1.0,103.0,103.0,
s6419,movie,cappuccino,noushad,"dharmajan_bolgatty,_aneesh_menon,_sunil_sukhada,_anita_lukmance,_kottayam_pradeep,_natasha_doshi,_hareesh_perumanna,_sharanya,_vineeth_mohan,_sudhi_koppa",india,2018-07-01,2017,tv-pg,126_min,"comedies,_dramas,_international_movies","richi_is_a_director_of_commercials_whose_computer_memory_drive_is_accidentally_switched_with_that_of_sneha,_a_woman_he_soon_falls_in_love_with.",2018.0,7.0,july,1.0,126.0,126.0,
s6420,movie,cardboard_gangsters,mark_o'connor,"john_connors,_fionn_walton,_kierston_wareing,_paul_alwright,_ryan_lincoln,_jimmy_smallhorne,_toni_o'rourke,_fionna_hewitt-twamley,_stephen_clinch,_ciaran_mccabe",ireland,2018-09-15,2016,tv-ma,92_min,"dramas,_international_movies","a_low-level_drug_dealer_decides_to_move_up_the_ranks_of_the_illegal_narcotics_trade_in_darndale,_dublin,_putting_him_and_his_gang_on_a_violent_path.",2018.0,9.0,september,2.0,92.0,92.0,
